epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,498.011,2.83314,8.68326,2.23029,0.85914,0.67239,0.7721,0.20742,2.83875,1.86728,1.78897,0.000662835,0.000662835,0.000662835
2,899.903,1.01611,1.13444,0.99287,0.99979,1,0.995,0.7239,0.95796,0.56975,0.91323,0.00119788,0.00119788,0.00119788
3,1038.63,0.79866,0.62908,0.90321,0.99998,1,0.995,0.84345,0.64749,0.4412,0.84438,0.00160093,0.00160093,0.00160093
4,1262.01,0.66302,0.45135,0.8618,0.99997,1,0.995,0.88138,0.53759,0.35569,0.81876,0.001406,0.001406,0.001406
5,1625.66,0.55533,0.37377,0.83628,0.99997,1,0.995,0.90275,0.48321,0.32341,0.80051,0.001208,0.001208,0.001208
6,1890.24,0.48467,0.32903,0.81789,0.99999,1,0.995,0.92811,0.39352,0.29265,0.79304,0.00101,0.00101,0.00101
7,2307.96,0.43905,0.30174,0.81005,0.99998,1,0.995,0.94915,0.3447,0.25578,0.78716,0.000812,0.000812,0.000812
8,2679.04,0.38802,0.27281,0.80195,0.99999,1,0.995,0.95509,0.32134,0.23462,0.78533,0.000614,0.000614,0.000614
9,3002.63,0.35228,0.25377,0.79809,0.99998,1,0.995,0.96672,0.29708,0.22035,0.7802,0.000416,0.000416,0.000416
10,3324.31,0.32609,0.23619,0.79256,0.99999,1,0.995,0.97524,0.26181,0.20781,0.77981,0.000218,0.000218,0.000218
