epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,250.259,1.09253,2.33309,0.95399,0.8857,0.91479,0.92939,0.57733,1.00729,1.10121,0.91799,0.000662835,0.000662835,0.000662835
2,385.293,0.9363,1.03628,0.90662,0.88596,0.93068,0.95881,0.59538,1.04404,0.85748,0.95319,0.00119788,0.00119788,0.00119788
3,520.423,0.91058,0.77144,0.90352,0.93294,0.95402,0.97358,0.64156,0.93976,0.77235,0.91706,0.00160093,0.00160093,0.00160093
4,644.867,0.87414,0.70374,0.89505,0.9531,0.97371,0.98914,0.72254,0.81733,0.74574,0.88416,0.001406,0.001406,0.001406
5,1051.09,0.81548,0.65228,0.88118,0.96511,0.96532,0.9916,0.72276,0.86601,0.62866,0.898,0.001208,0.001208,0.001208
6,1198.63,0.75835,0.61702,0.86807,0.9532,0.96898,0.9911,0.79037,0.6993,0.59229,0.85546,0.00101,0.00101,0.00101
7,1325.89,0.71688,0.59452,0.85651,0.94731,0.95243,0.98715,0.7544,0.77838,0.57859,0.88705,0.000812,0.000812,0.000812
8,1453.22,0.67285,0.57263,0.84569,0.94582,0.97639,0.99103,0.80661,0.63229,0.55762,0.84314,0.000614,0.000614,0.000614
9,1581.66,0.62554,0.5574,0.83605,0.92162,0.95542,0.98649,0.82864,0.56667,0.55805,0.82373,0.000416,0.000416,0.000416
10,1710.12,0.58791,0.54763,0.8268,0.94752,0.9776,0.99134,0.8427,0.53409,0.54023,0.81807,0.000218,0.000218,0.000218
