epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.514,3.90684,6.0839,4.22317,0.0003,0.03863,0.00022,9e-05,3.89794,4.48881,4.15401,0.00025722,0.00025722,0.00025722
2,35.79,3.61212,5.6414,4.00873,0.00023,0.04552,0.00018,8e-05,3.87861,4.49304,4.14454,0.000526636,0.000526636,0.000526636
3,50.8135,2.91984,4.80645,3.3431,0.00028,0.04071,0.00018,7e-05,3.73179,4.50058,4.05365,0.000793902,0.000793902,0.000793902
4,65.7576,2.64868,3.87874,2.85114,0.00039,0.08959,0.00195,0.00057,3.42073,4.48539,3.51728,0.00105902,0.00105902,0.00105902
5,80.9914,2.51462,3.24987,2.62134,0.00035,0.06267,0.0003,0.00011,3.26836,4.42943,3.35541,0.00132198,0.00132198,0.00132198
6,96.3914,2.37476,2.82139,2.46687,0.00036,0.06042,0.00096,0.00028,3.02895,4.56191,3.46849,0.00140071,0.00140071,0.00140071
7,112.132,2.20899,2.44547,2.3243,0.00342,0.12388,0.00546,0.00161,2.75623,3.96622,3.03181,0.00139505,0.00139505,0.00139505
8,132.919,2.11099,2.19492,2.20502,0.65769,0.17829,0.18776,0.06807,2.19731,2.56062,2.4565,0.00138939,0.00138939,0.00138939
9,149.242,2.03406,2.01939,2.12485,0.71125,0.31372,0.31303,0.12371,2.07781,1.92906,2.2209,0.00138373,0.00138373,0.00138373
10,164.385,1.99082,1.90696,2.08911,0.75958,0.30736,0.35482,0.14679,1.92436,1.83493,2.04187,0.00137807,0.00137807,0.00137807
11,180.114,1.94849,1.80478,2.02707,0.78671,0.39353,0.42218,0.19494,1.85483,1.65649,2.02336,0.00137241,0.00137241,0.00137241
12,196.006,1.88007,1.71209,1.97986,0.83564,0.4063,0.44995,0.20213,1.85352,1.71783,2.00814,0.00136675,0.00136675,0.00136675
13,211.53,1.8589,1.64748,1.93478,0.82812,0.40952,0.4675,0.20604,1.93339,1.50774,2.02085,0.00136109,0.00136109,0.00136109
14,226.91,1.83154,1.58197,1.89143,0.72971,0.39174,0.36593,0.16608,1.85885,1.88076,2.00882,0.00135544,0.00135544,0.00135544
15,243.001,1.81744,1.52651,1.86801,0.76096,0.44673,0.40026,0.18497,1.88763,1.67772,1.95063,0.00134978,0.00134978,0.00134978
16,258.595,1.79838,1.5008,1.84722,0.82895,0.42327,0.48645,0.22626,1.83649,1.45781,1.91968,0.00134412,0.00134412,0.00134412
17,274.347,1.76108,1.48372,1.83414,0.8211,0.47086,0.48484,0.22374,1.83287,1.37558,1.88467,0.00133846,0.00133846,0.00133846
18,295.743,1.75442,1.41761,1.80666,0.80777,0.41962,0.43741,0.16744,2.14871,1.62555,2.1741,0.0013328,0.0013328,0.0013328
19,308.11,1.71549,1.37815,1.77959,0.84551,0.46549,0.49577,0.2438,1.77821,1.31514,1.85413,0.00132714,0.00132714,0.00132714
20,344.511,1.7081,1.36545,1.78057,0.89513,0.48834,0.53982,0.26207,1.74726,1.24684,1.83901,0.00132148,0.00132148,0.00132148
21,356.224,1.71188,1.34465,1.74968,0.87503,0.47218,0.54624,0.25854,1.73529,1.25374,1.84387,0.00131582,0.00131582,0.00131582
22,371.341,1.67803,1.28798,1.73378,0.87118,0.50052,0.53339,0.28781,1.62734,1.16395,1.72767,0.00131016,0.00131016,0.00131016
23,386.424,1.6476,1.26305,1.69795,0.90956,0.50179,0.56981,0.2853,1.64779,1.0798,1.75825,0.00130451,0.00130451,0.00130451
24,401.534,1.65555,1.20953,1.70852,0.87151,0.46835,0.54095,0.28404,1.60096,1.20168,1.7408,0.00129885,0.00129885,0.00129885
25,416.279,1.65771,1.25537,1.71752,0.87367,0.44427,0.52986,0.27716,1.63266,1.27829,1.76214,0.00129319,0.00129319,0.00129319
26,431.216,1.63946,1.24339,1.72303,0.91907,0.51513,0.58118,0.30854,1.65958,1.08719,1.73837,0.00128753,0.00128753,0.00128753
27,447.746,1.63505,1.22789,1.6959,0.87365,0.44274,0.51533,0.24667,1.77981,1.35006,1.82579,0.00128187,0.00128187,0.00128187
28,462.808,1.62083,1.19494,1.67549,0.91966,0.54921,0.59167,0.31734,1.58647,1.00962,1.6924,0.00127621,0.00127621,0.00127621
29,477.918,1.58873,1.1347,1.66019,0.91013,0.53356,0.57855,0.31187,1.55533,0.99495,1.68303,0.00127055,0.00127055,0.00127055
30,494.015,1.62643,1.16853,1.67664,0.92622,0.52816,0.58183,0.30092,1.67368,1.04998,1.75415,0.00126489,0.00126489,0.00126489
31,509.383,1.59691,1.16761,1.63427,0.90838,0.52623,0.57572,0.30721,1.61866,1.00079,1.72571,0.00125923,0.00125923,0.00125923
32,524.625,1.58975,1.12049,1.64181,0.93314,0.53247,0.58377,0.31047,1.57696,1.0359,1.68058,0.00125358,0.00125358,0.00125358
33,539.777,1.55389,1.09294,1.61076,0.92919,0.55317,0.59291,0.33083,1.52361,0.91507,1.62445,0.00124792,0.00124792,0.00124792
34,554.786,1.55699,1.09428,1.60842,0.93767,0.54112,0.59154,0.30748,1.6209,1.00105,1.70233,0.00124226,0.00124226,0.00124226
35,569.205,1.54097,1.07151,1.61679,0.90453,0.51939,0.5845,0.29695,1.69221,1.11726,1.78239,0.0012366,0.0012366,0.0012366
36,585.183,1.55537,1.10372,1.60057,0.93192,0.54566,0.62563,0.33705,1.60639,0.97136,1.6959,0.00123094,0.00123094,0.00123094
37,599.887,1.53241,1.06213,1.58634,0.91767,0.54488,0.59315,0.30931,1.62739,1.04615,1.68707,0.00122528,0.00122528,0.00122528
38,614.735,1.55706,1.07879,1.60537,0.93149,0.54922,0.59682,0.33156,1.50807,0.93325,1.62592,0.00121962,0.00121962,0.00121962
39,629.546,1.51939,1.06149,1.59497,0.92546,0.53744,0.59879,0.34277,1.4819,0.91577,1.58931,0.00121396,0.00121396,0.00121396
