epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.053,4.04545,5.88115,4.21995,0.00041,0.07379,0.00027,0.0001,3.88302,4.48938,4.15157,0.00030006,0.00030006,0.00030006
2,24.062,3.47908,5.18636,3.93659,0.00043,0.06827,0.00028,0.00011,3.87942,4.50099,4.14442,0.000614348,0.000614348,0.000614348
3,34.943,2.87949,4.44688,3.20888,0.0005,0.09446,0.00042,0.00014,3.90031,4.10015,4.04181,0.000926127,0.000926127,0.000926127
4,45.752,2.61205,3.70624,2.76011,0.00056,0.11389,0.00036,0.00013,3.4719,4.22099,3.81593,0.0012354,0.0012354,0.0012354
5,56.417,2.60855,3.33527,2.58465,0.00048,0.09593,0.00079,0.00027,3.24252,4.20687,3.30663,0.00154216,0.00154216,0.00154216
6,66.974,2.42562,2.83234,2.44666,0.00097,0.09134,0.00075,0.00025,3.17359,4.32711,3.59292,0.00163399,0.00163399,0.00163399
7,77.701,2.24686,2.41768,2.35801,0.21624,0.11847,0.06785,0.02289,2.60394,3.11524,2.70159,0.00162739,0.00162739,0.00162739
8,88.354,2.15224,2.2799,2.19088,0.37288,0.36351,0.28119,0.10593,2.20611,2.24855,2.34474,0.00162079,0.00162079,0.00162079
9,98.963,1.97937,2.13846,2.05763,0.49374,0.41194,0.42554,0.17395,2.09464,2.08763,2.25468,0.00161419,0.00161419,0.00161419
10,109.679,2.03377,1.98966,2.02428,0.56951,0.45827,0.4854,0.1862,2.09403,2.14371,2.17201,0.00160759,0.00160759,0.00160759
11,120.491,1.83492,1.89597,1.87346,0.62896,0.55488,0.59476,0.26464,1.88034,1.743,2.00651,0.00160099,0.00160099,0.00160099
12,131.26,1.86176,1.78715,1.90018,0.58881,0.51524,0.50681,0.23366,1.92676,1.94327,2.02739,0.00159439,0.00159439,0.00159439
13,141.97,1.85319,1.7038,1.83497,0.68719,0.58016,0.64678,0.30834,1.8202,1.67706,1.94654,0.00158778,0.00158778,0.00158778
14,152.715,1.87823,1.65814,1.8629,0.68008,0.55493,0.63503,0.28312,1.85833,1.81301,1.97429,0.00158118,0.00158118,0.00158118
15,163.427,1.81599,1.61917,1.82721,0.66564,0.56265,0.60153,0.29009,1.84585,1.79204,1.92442,0.00157458,0.00157458,0.00157458
16,174.296,1.77339,1.59083,1.79888,0.56142,0.63688,0.57839,0.24438,1.90485,2.12237,2.01931,0.00156798,0.00156798,0.00156798
17,185.478,1.82292,1.57895,1.83037,0.73349,0.62177,0.70354,0.34324,1.76364,1.50153,1.85388,0.00156138,0.00156138,0.00156138
18,196.168,1.7758,1.5223,1.75749,0.81008,0.65628,0.74843,0.39029,1.71533,1.44287,1.80083,0.00155478,0.00155478,0.00155478
19,206.847,1.72995,1.41828,1.74003,0.74169,0.627,0.70398,0.30215,2.04933,1.50072,2.071,0.00154818,0.00154818,0.00154818
20,217.663,1.6444,1.50106,1.64803,0.74639,0.61516,0.72434,0.29691,2.07511,1.51099,2.03809,0.00154157,0.00154157,0.00154157
21,228.282,1.72028,1.47583,1.71476,0.81557,0.68593,0.78491,0.41543,1.63587,1.36728,1.73805,0.00153497,0.00153497,0.00153497
22,238.953,1.67506,1.42985,1.69534,0.51091,0.46059,0.45101,0.22722,1.78457,2.04649,1.82604,0.00152837,0.00152837,0.00152837
23,249.686,1.68192,1.39276,1.71274,0.84313,0.65352,0.77765,0.40429,1.69629,1.34611,1.77545,0.00152177,0.00152177,0.00152177
24,260.296,1.65748,1.36713,1.69106,0.83311,0.66425,0.78784,0.42146,1.61616,1.28733,1.68434,0.00151517,0.00151517,0.00151517
