epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.4504,3.9015,5.71892,4.24044,0.00042,0.06971,0.00027,0.0001,3.88757,4.48943,4.15593,0.00023338,0.00023338,0.00023338
2,32.7938,3.72211,5.43783,4.09666,0.00042,0.07355,0.0003,0.00012,3.86152,4.48887,4.13825,0.000481516,0.000481516,0.000481516
3,41.8489,3.07118,4.85864,3.56992,0.00038,0.06033,0.00023,0.0001,3.9116,4.32845,4.19247,0.000727671,0.000727671,0.000727671
4,50.8486,2.74914,4.0146,2.989,0.00062,0.12495,0.00041,0.00015,3.56155,4.10669,3.86911,0.000971846,0.000971846,0.000971846
5,59.7836,2.60519,3.48245,2.69231,0.00042,0.0762,0.00029,0.00011,3.59193,4.24769,3.9211,0.00121404,0.00121404,0.00121404
6,68.5523,2.51651,3.04174,2.56121,0.00052,0.03366,0.00033,0.00013,3.64322,4.1823,4.20352,0.00145425,0.00145425,0.00145425
7,77.1675,2.36311,2.67223,2.39244,0.00046,0.03366,0.00034,9e-05,3.54003,4.50427,4.24798,0.00162739,0.00162739,0.00162739
8,89.112,2.29122,2.3883,2.319,0.02491,0.01779,0.00263,0.00063,2.74591,4.20256,3.01646,0.00162079,0.00162079,0.00162079
9,97.6959,2.19198,2.16643,2.22082,0.52071,0.02897,0.07723,0.02644,2.60241,3.57299,2.80904,0.00161419,0.00161419,0.00161419
10,106.271,2.1173,2.00161,2.16624,0.53258,0.35529,0.36315,0.13882,2.16121,2.43012,2.28573,0.00160759,0.00160759,0.00160759
11,114.845,2.05021,1.89098,2.08798,0.64057,0.36166,0.44288,0.18315,2.13755,2.48821,2.29564,0.00160099,0.00160099,0.00160099
12,123.41,1.97815,1.78705,2.04359,0.64935,0.5079,0.58391,0.24181,2.01876,1.784,2.13879,0.00159439,0.00159439,0.00159439
13,134.371,1.97356,1.74752,2.01428,0.56304,0.52468,0.53052,0.22985,1.94541,2.48642,2.17034,0.00158778,0.00158778,0.00158778
14,152.466,1.9256,1.67973,1.95934,0.77648,0.64046,0.73053,0.31661,1.8802,1.63378,2.02097,0.00158118,0.00158118,0.00158118
15,165.433,1.888,1.61329,1.92585,0.79881,0.65814,0.73365,0.30907,1.91824,1.60446,2.06793,0.00157458,0.00157458,0.00157458
16,178.538,1.85068,1.58243,1.91145,0.77895,0.59038,0.71807,0.33141,1.77735,1.45667,1.92168,0.00156798,0.00156798,0.00156798
17,191.707,1.83848,1.52315,1.91474,0.72382,0.62601,0.67543,0.30622,1.8225,1.73484,2.0333,0.00156138,0.00156138,0.00156138
18,205.011,1.82989,1.49534,1.84477,0.7773,0.67482,0.74583,0.33896,1.92264,1.42645,2.0047,0.00155478,0.00155478,0.00155478
19,218.192,1.80091,1.47178,1.83177,0.83513,0.70536,0.80655,0.37655,1.85051,1.33122,1.95294,0.00154818,0.00154818,0.00154818
20,231.426,1.79286,1.41013,1.82985,0.76725,0.66133,0.73597,0.31951,2.05691,1.47095,2.11824,0.00154157,0.00154157,0.00154157
21,244.504,1.75624,1.39022,1.7912,0.80299,0.67774,0.78067,0.38786,1.75129,1.32206,1.91023,0.00153497,0.00153497,0.00153497
22,257.88,1.73216,1.34465,1.7688,0.81374,0.68061,0.77031,0.3637,1.83029,1.37384,1.96683,0.00152837,0.00152837,0.00152837
23,271.672,1.73244,1.30795,1.7605,0.83434,0.68591,0.78044,0.35931,1.85243,1.41415,1.98753,0.00152177,0.00152177,0.00152177
24,286.814,1.73082,1.33348,1.74889,0.77898,0.75631,0.80041,0.40691,1.64095,1.45229,1.8201,0.00151517,0.00151517,0.00151517
25,299.585,1.69314,1.34932,1.73008,0.84211,0.71828,0.80211,0.41613,1.70405,1.27374,1.81343,0.00150857,0.00150857,0.00150857
