epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.664,3.92826,6.11179,4.22026,0.0003,0.03863,0.00023,9e-05,3.89982,4.4894,4.15395,0.00025722,0.00025722,0.00025722
2,23.738,3.6014,5.60987,4.01191,0.00019,0.03542,0.00014,6e-05,3.88972,4.49089,4.14872,0.000526636,0.000526636,0.000526636
3,38.43,2.92049,4.79337,3.35466,0.00033,0.03975,0.00021,9e-05,3.95988,4.56658,4.23282,0.000793902,0.000793902,0.000793902
4,53.667,2.6675,4.00008,2.86262,0.00036,0.06156,0.0003,0.00011,3.5453,4.61398,3.67442,0.00105902,0.00105902,0.00105902
5,69.233,2.49428,3.40313,2.64911,0.0004,0.05161,0.00028,0.0001,3.51409,4.07707,3.67621,0.00132198,0.00132198,0.00132198
6,84.512,2.32666,2.85251,2.42979,0.00061,0.05145,0.00042,0.00014,3.22013,4.06923,3.4452,0.00140071,0.00140071,0.00140071
7,99.755,2.19282,2.46764,2.31308,0.54025,0.06089,0.06128,0.02329,2.53555,3.26243,2.75522,0.00139505,0.00139505,0.00139505
8,115.116,2.11253,2.24747,2.19061,0.63615,0.11557,0.17654,0.06504,2.27212,2.97773,2.51065,0.00138939,0.00138939,0.00138939
9,130.5,2.01964,2.06081,2.09142,0.69098,0.28141,0.30591,0.12473,1.97839,2.07368,2.11939,0.00138373,0.00138373,0.00138373
10,145.447,1.95664,1.9721,2.04929,0.79319,0.30866,0.41591,0.18647,1.87976,1.87212,2.04516,0.00137807,0.00137807,0.00137807
11,161.721,1.92031,1.84559,1.98886,0.75305,0.35902,0.44131,0.19014,1.96371,1.73614,2.09833,0.00137241,0.00137241,0.00137241
12,176.065,1.86068,1.7734,1.92761,0.79179,0.39035,0.53197,0.25261,1.81174,1.66848,2.00505,0.00136675,0.00136675,0.00136675
13,185.723,1.84366,1.70514,1.89153,0.72328,0.34545,0.46597,0.23459,1.86801,1.77953,2.02921,0.00136109,0.00136109,0.00136109
14,195.382,1.82477,1.68027,1.86097,0.80086,0.41015,0.42946,0.19839,1.79354,1.70041,1.93215,0.00135544,0.00135544,0.00135544
15,205.18,1.79929,1.59235,1.84503,0.77967,0.3906,0.43744,0.20799,1.77498,1.65086,1.90858,0.00134978,0.00134978,0.00134978
16,214.919,1.77293,1.57593,1.82626,0.82394,0.40874,0.486,0.23189,1.78441,1.55236,1.88494,0.00134412,0.00134412,0.00134412
17,224.616,1.75426,1.54591,1.81503,0.82342,0.39368,0.45179,0.22923,1.74524,1.5897,1.88465,0.00133846,0.00133846,0.00133846
18,234.324,1.73489,1.52282,1.78487,0.76597,0.39201,0.57906,0.26345,1.92462,1.82135,2.00417,0.0013328,0.0013328,0.0013328
19,244.058,1.72107,1.50042,1.77906,0.84557,0.41995,0.50596,0.24661,1.80876,1.48593,1.90819,0.00132714,0.00132714,0.00132714
20,253.728,1.67958,1.47814,1.75795,0.87505,0.39268,0.48684,0.24081,1.68305,1.36942,1.79057,0.00132148,0.00132148,0.00132148
21,263.478,1.69094,1.43728,1.73673,0.87069,0.44135,0.49832,0.24085,1.70542,1.54382,1.84541,0.00131582,0.00131582,0.00131582
