epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.718,3.93224,6.09331,4.23446,0.0003,0.03863,0.00022,9e-05,3.89783,4.48905,4.15423,0.00025722,0.00025722,0.00025722
2,27,3.62748,5.59156,4.00498,0.00022,0.03863,0.00014,5e-05,3.87117,4.48189,4.13758,0.000526636,0.000526636,0.000526636
3,38.328,2.98032,4.86241,3.38365,0.00029,0.03526,0.00019,7e-05,3.91135,4.55018,4.17849,0.000793902,0.000793902,0.000793902
4,49.556,2.69873,4.00904,2.89154,0.00035,0.04087,0.00028,9e-05,3.92138,4.65756,4.15921,0.00105902,0.00105902,0.00105902
5,60.99,2.53803,3.41442,2.66322,0.00033,0.06283,0.00075,0.00025,3.19753,4.4118,3.22177,0.00132198,0.00132198,0.00132198
6,72.488,2.38384,2.84471,2.48762,0.00103,0.18954,0.00476,0.00137,2.931,4.14984,3.17794,0.00140071,0.00140071,0.00140071
7,83.855,2.26034,2.48776,2.36732,0.48362,0.02691,0.03152,0.01047,2.41753,3.39869,2.66031,0.00139505,0.00139505,0.00139505
8,95.312,2.15001,2.25427,2.24058,0.6072,0.20141,0.2111,0.07409,2.20354,2.45946,2.35334,0.00138939,0.00138939,0.00138939
9,107.539,2.05159,2.0474,2.14705,0.71709,0.27964,0.28942,0.11644,2.05147,2.16054,2.20416,0.00138373,0.00138373,0.00138373
10,123.589,1.99277,1.93103,2.08507,0.7109,0.32463,0.34582,0.14715,2.03181,1.81078,2.12272,0.00137807,0.00137807,0.00137807
11,140.099,1.9477,1.83046,2.02178,0.81213,0.367,0.42919,0.18918,1.87464,1.70418,2.00807,0.00137241,0.00137241,0.00137241
12,157.05,1.90214,1.72783,1.97625,0.84461,0.41768,0.48882,0.23331,1.83369,1.72042,1.98447,0.00136675,0.00136675,0.00136675
13,172.791,1.87838,1.6772,1.91291,0.80092,0.36002,0.4143,0.1788,2.00429,1.64931,2.12266,0.00136109,0.00136109,0.00136109
14,188.333,1.86049,1.63636,1.89464,0.79672,0.41478,0.47861,0.22883,1.82269,1.692,1.90686,0.00135544,0.00135544,0.00135544
15,203.834,1.82331,1.55683,1.85571,0.80763,0.31354,0.37268,0.17945,1.78157,2.07931,1.92514,0.00134978,0.00134978,0.00134978
