epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.6022,3.89908,6.05546,4.22084,0.0003,0.03863,0.00022,9e-05,3.89658,4.48916,4.15349,0.00025722,0.00025722,0.00025722
2,36.1662,3.6214,5.61612,3.98656,0.00022,0.04087,0.00015,6e-05,3.87122,4.47845,4.12911,0.000526636,0.000526636,0.000526636
3,51.6723,2.99957,4.84471,3.3751,0.00027,0.05867,0.00018,6e-05,3.84991,4.5107,3.97422,0.000793902,0.000793902,0.000793902
4,62.8993,2.66724,3.89019,2.87849,0.00032,0.05979,0.00234,0.0007,3.35291,4.52341,3.37398,0.00105902,0.00105902,0.00105902
5,73.0693,2.48443,3.21316,2.64558,0.00034,0.06475,0.00039,0.00011,3.25164,4.57292,3.67791,0.00132198,0.00132198,0.00132198
6,83.2213,2.35931,2.70988,2.45808,0.00128,0.27207,0.00492,0.00145,2.94295,3.8987,3.29599,0.00140071,0.00140071,0.00140071
7,126.629,2.20055,2.34137,2.32341,0.44495,0.04629,0.03164,0.00846,2.63201,3.38841,2.78867,0.00139505,0.00139505,0.00139505
8,138.322,2.11539,2.15699,2.20331,0.50673,0.19545,0.17205,0.07446,2.16717,2.93947,2.40829,0.00138939,0.00138939,0.00138939
9,148.353,2.04322,1.99012,2.14842,0.71597,0.24476,0.28863,0.11275,2.12352,2.19563,2.28659,0.00138373,0.00138373,0.00138373
10,157.874,1.99561,1.86966,2.10171,0.67636,0.28646,0.29333,0.10756,2.18453,2.01255,2.32158,0.00137807,0.00137807,0.00137807
11,167.379,1.93634,1.7531,2.01873,0.80247,0.38679,0.45483,0.20905,1.8777,1.60261,2.05619,0.00137241,0.00137241,0.00137241
12,176.934,1.86043,1.67744,1.95776,0.83857,0.40226,0.44977,0.19677,1.93595,1.66458,2.1101,0.00136675,0.00136675,0.00136675
13,186.345,1.8776,1.63152,1.93722,0.8366,0.43708,0.46854,0.20533,2.00684,1.51692,2.15334,0.00136109,0.00136109,0.00136109
14,196.364,1.8228,1.54597,1.88147,0.87519,0.43896,0.51441,0.23312,1.88896,1.3797,1.97843,0.00135544,0.00135544,0.00135544
15,207.885,1.80081,1.50182,1.84737,0.87165,0.45021,0.51838,0.24135,1.79326,1.48212,1.97743,0.00134978,0.00134978,0.00134978
16,219.575,1.79271,1.48979,1.8489,0.89232,0.46809,0.5367,0.2603,1.81151,1.28553,1.88912,0.00134412,0.00134412,0.00134412
17,231.696,1.77389,1.48309,1.83704,0.87238,0.48866,0.53851,0.26149,1.76337,1.24414,1.86505,0.00133846,0.00133846,0.00133846
18,246.633,1.73993,1.40467,1.78755,0.86575,0.43079,0.49059,0.2577,1.75253,1.56761,1.93066,0.0013328,0.0013328,0.0013328
19,261.357,1.73434,1.38317,1.78485,0.87545,0.48754,0.53837,0.25284,1.77674,1.29558,1.91149,0.00132714,0.00132714,0.00132714
20,276.023,1.7138,1.3503,1.77758,0.88587,0.51647,0.56295,0.28952,1.68994,1.13383,1.82852,0.00132148,0.00132148,0.00132148
21,293.382,1.69877,1.32051,1.74035,0.87527,0.4712,0.52295,0.24065,1.93769,1.24961,2.05895,0.00131582,0.00131582,0.00131582
22,304.25,1.67428,1.27513,1.72902,0.8821,0.50262,0.54657,0.27887,1.66713,1.27302,1.75221,0.00131016,0.00131016,0.00131016
23,319.293,1.66091,1.28364,1.70601,0.90008,0.52008,0.62844,0.31286,1.63035,1.07126,1.7546,0.00130451,0.00130451,0.00130451
24,332.126,1.64857,1.22759,1.69532,0.93195,0.49105,0.57006,0.29057,1.68878,1.11343,1.77418,0.00129885,0.00129885,0.00129885
25,345.823,1.63493,1.26031,1.68844,0.90477,0.49331,0.58146,0.29929,1.64512,1.20631,1.78016,0.00129319,0.00129319,0.00129319
26,361.48,1.65844,1.26073,1.71511,0.924,0.53674,0.5875,0.31954,1.61146,1.03304,1.77224,0.00128753,0.00128753,0.00128753
27,377.102,1.64476,1.21775,1.68411,0.87131,0.5111,0.54419,0.28519,1.76107,1.14876,1.83425,0.00128187,0.00128187,0.00128187
28,392.259,1.60804,1.18781,1.65512,0.92309,0.49463,0.56448,0.28975,1.69056,1.10483,1.79104,0.00127621,0.00127621,0.00127621
29,468.106,1.60089,1.15506,1.66069,0.91052,0.52094,0.579,0.31678,1.6011,1.07602,1.69923,0.00127055,0.00127055,0.00127055
30,522.936,1.60346,1.18049,1.64077,0.92559,0.5228,0.5826,0.32084,1.5972,1.02786,1.72078,0.00126489,0.00126489,0.00126489
31,536.7,1.58756,1.15471,1.61874,0.94625,0.52183,0.59883,0.33193,1.57668,0.95094,1.68138,0.00125923,0.00125923,0.00125923
32,546.618,1.57934,1.12789,1.62589,0.90521,0.52173,0.57069,0.30884,1.58625,1.0713,1.69761,0.00125358,0.00125358,0.00125358
33,556.579,1.5705,1.10847,1.63,0.93322,0.52705,0.59191,0.32476,1.56102,0.94827,1.70322,0.00124792,0.00124792,0.00124792
34,566.498,1.56396,1.12062,1.6076,0.92864,0.54842,0.59779,0.3029,1.71809,1.02045,1.79242,0.00124226,0.00124226,0.00124226
35,576.445,1.56579,1.09393,1.60312,0.93592,0.54243,0.60965,0.33456,1.65034,1.00327,1.77546,0.0012366,0.0012366,0.0012366
36,586.391,1.54106,1.1025,1.58491,0.91668,0.55693,0.62596,0.34961,1.55278,0.94296,1.65426,0.00123094,0.00123094,0.00123094
37,596.316,1.54185,1.06748,1.57165,0.92505,0.54507,0.60068,0.32226,1.55493,0.95486,1.65937,0.00122528,0.00122528,0.00122528
38,606.258,1.51967,1.06758,1.57118,0.93277,0.55984,0.6078,0.34227,1.52286,0.91257,1.6283,0.00121962,0.00121962,0.00121962
39,616.201,1.52689,1.05514,1.5647,0.8885,0.53595,0.58682,0.31335,1.5984,1.04713,1.66209,0.00121396,0.00121396,0.00121396
40,626.112,1.50653,1.03374,1.55784,0.92694,0.53577,0.59013,0.32408,1.61452,0.96965,1.6773,0.00120831,0.00120831,0.00120831
41,636.056,1.51688,1.05741,1.55503,0.93378,0.56219,0.61103,0.34543,1.58297,0.91946,1.68054,0.00120265,0.00120265,0.00120265
42,647.61,1.50492,1.01543,1.56353,0.94048,0.5739,0.60753,0.34203,1.57221,0.90167,1.66474,0.00119699,0.00119699,0.00119699
43,663.804,1.48978,1.02687,1.55438,0.92289,0.56927,0.62188,0.36671,1.45922,0.87362,1.57358,0.00119133,0.00119133,0.00119133
44,679.431,1.45909,1.00848,1.53543,0.92968,0.56686,0.61078,0.3537,1.52609,0.90976,1.6106,0.00118567,0.00118567,0.00118567
45,694.723,1.48945,1.00975,1.52921,0.91416,0.54685,0.70555,0.44107,1.53793,0.97001,1.63549,0.00118001,0.00118001,0.00118001
46,709.805,1.49489,1.0033,1.55082,0.95679,0.56257,0.64703,0.38126,1.49906,0.82034,1.58113,0.00117435,0.00117435,0.00117435
47,724.991,1.47779,0.99181,1.53631,0.92306,0.58047,0.61717,0.36489,1.49585,0.80822,1.60066,0.00116869,0.00116869,0.00116869
48,739.87,1.45891,0.96416,1.51751,0.92177,0.55017,0.60373,0.34772,1.50468,0.84137,1.58549,0.00116303,0.00116303,0.00116303
