epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.489,3.91373,6.01469,4.20194,0.0003,0.03863,0.00023,9e-05,3.89618,4.48811,4.15134,0.00025722,0.00025722,0.00025722
2,22.8,3.65748,5.60632,3.98054,0.00019,0.03542,0.00012,5e-05,3.8676,4.47318,4.12925,0.000526636,0.000526636,0.000526636
3,32.4291,2.9843,4.88677,3.39479,0.00027,0.04311,0.00018,7e-05,3.88748,4.54126,4.16296,0.000793902,0.000793902,0.000793902
4,42.0691,2.69854,4.10076,2.88863,0.0006,0.07325,0.00054,0.00021,3.58913,4.59576,3.74858,0.00105902,0.00105902,0.00105902
5,51.7801,2.51758,3.39799,2.63442,0.0005,0.08174,0.001,0.00026,3.13992,4.54861,3.27266,0.00132198,0.00132198,0.00132198
6,62.5111,2.29486,2.83392,2.40298,0.00117,0.00786,0.0024,0.00039,3.07188,11.3222,4.00352,0.00140071,0.00140071,0.00140071
7,72.2171,2.19574,2.52946,2.2979,0.41746,0.08638,0.04618,0.0178,2.28935,3.18408,2.55488,0.00139505,0.00139505,0.00139505
8,81.8381,2.10017,2.27204,2.16792,0.57038,0.20254,0.15594,0.06436,2.1278,2.44736,2.28617,0.00138939,0.00138939,0.00138939
9,91.4131,2.02285,2.12452,2.10743,0.66747,0.33756,0.3414,0.15618,1.93971,1.95695,2.10513,0.00138373,0.00138373,0.00138373
10,101.033,1.94916,1.9677,2.06936,0.72241,0.35197,0.3872,0.18202,1.86147,1.80723,2.08556,0.00137807,0.00137807,0.00137807
11,110.783,1.90072,1.87272,1.9972,0.75471,0.35705,0.40072,0.17904,1.81545,2.28986,2.06042,0.00137241,0.00137241,0.00137241
12,120.782,1.87941,1.81938,1.96198,0.78191,0.39721,0.43839,0.20946,1.82071,1.58093,2.00115,0.00136675,0.00136675,0.00136675
13,130.588,1.84784,1.73981,1.91212,0.75113,0.36027,0.35619,0.15894,1.89308,2.11427,2.04884,0.00136109,0.00136109,0.00136109
14,140.053,1.83242,1.69256,1.89235,0.81488,0.41722,0.45481,0.20906,1.74593,1.81271,1.92479,0.00135544,0.00135544,0.00135544
15,154.541,1.80666,1.61539,1.85687,0.77391,0.40193,0.43398,0.20617,1.81445,1.7317,1.95944,0.00134978,0.00134978,0.00134978
16,165.279,1.78412,1.59924,1.84822,0.83758,0.44413,0.49974,0.25051,1.68891,1.41356,1.91106,0.00134412,0.00134412,0.00134412
17,175.057,1.76567,1.54858,1.83345,0.79276,0.35838,0.39535,0.13473,2.26689,1.77058,2.25776,0.00133846,0.00133846,0.00133846
18,184.824,1.74935,1.50156,1.8147,0.84593,0.42469,0.4877,0.23748,1.78882,1.5542,1.93834,0.0013328,0.0013328,0.0013328
19,194.539,1.71378,1.47419,1.78559,0.87033,0.43103,0.48881,0.25633,1.71131,1.42391,1.85941,0.00132714,0.00132714,0.00132714
20,204.244,1.70621,1.43319,1.76966,0.88095,0.44556,0.52924,0.26022,1.71663,1.31365,1.80023,0.00132148,0.00132148,0.00132148
21,213.982,1.69592,1.42821,1.74557,0.85855,0.46686,0.52859,0.27664,1.58509,1.27074,1.71185,0.00131582,0.00131582,0.00131582
22,223.815,1.68747,1.4055,1.7366,0.87073,0.46497,0.50552,0.26453,1.61461,1.31914,1.69913,0.00131016,0.00131016,0.00131016
23,233.627,1.6451,1.34929,1.69892,0.87591,0.47907,0.53331,0.26385,1.67265,1.31581,1.7925,0.00130451,0.00130451,0.00130451
24,243.492,1.64177,1.31502,1.69742,0.88169,0.46621,0.52304,0.27962,1.61062,1.26193,1.74138,0.00129885,0.00129885,0.00129885
25,253.394,1.6422,1.32953,1.70422,0.91165,0.4449,0.53882,0.26462,1.74313,1.272,1.8293,0.00129319,0.00129319,0.00129319
26,263.46,1.64548,1.35487,1.71394,0.85967,0.47057,0.52566,0.27267,1.6677,1.25344,1.80757,0.00128753,0.00128753,0.00128753
27,274.794,1.61941,1.33041,1.67877,0.8737,0.46413,0.53366,0.27964,1.6207,1.18325,1.70591,0.00128187,0.00128187,0.00128187
28,284.548,1.6065,1.28954,1.67531,0.87737,0.48119,0.54987,0.29723,1.65856,1.12474,1.72505,0.00127621,0.00127621,0.00127621
29,294.296,1.58081,1.21326,1.65154,0.92071,0.48688,0.56612,0.32119,1.52392,1.13681,1.66893,0.00127055,0.00127055,0.00127055
30,304.135,1.61271,1.2471,1.65301,0.90039,0.49464,0.554,0.31189,1.52864,1.10626,1.67874,0.00126489,0.00126489,0.00126489
31,313.797,1.57297,1.23993,1.63923,0.91786,0.52487,0.57661,0.31934,1.54952,1.04703,1.68324,0.00125923,0.00125923,0.00125923
32,323.758,1.57642,1.20421,1.63246,0.89953,0.45825,0.55386,0.28318,1.65577,1.22369,1.72087,0.00125358,0.00125358,0.00125358
33,333.77,1.56221,1.17495,1.62075,0.90391,0.50873,0.56611,0.27768,1.71176,1.16026,1.8142,0.00124792,0.00124792,0.00124792
34,343.576,1.53084,1.15729,1.59307,0.91355,0.52443,0.59131,0.3208,1.54996,1.03396,1.67841,0.00124226,0.00124226,0.00124226
35,353.413,1.52878,1.13629,1.60863,0.89987,0.50319,0.56957,0.33268,1.49086,1.0434,1.66008,0.0012366,0.0012366,0.0012366
36,363.196,1.54802,1.18711,1.60083,0.89478,0.51999,0.57695,0.30389,1.57692,1.05187,1.68928,0.00123094,0.00123094,0.00123094
37,372.909,1.52141,1.12919,1.58682,0.89741,0.4816,0.56522,0.26727,1.80117,1.16553,1.89629,0.00122528,0.00122528,0.00122528
38,382.66,1.55222,1.13731,1.60155,0.8907,0.53175,0.58268,0.32515,1.56043,1.076,1.65165,0.00121962,0.00121962,0.00121962
39,392.389,1.51495,1.13145,1.59224,0.93157,0.52224,0.58811,0.32632,1.57604,1.02388,1.69141,0.00121396,0.00121396,0.00121396
40,402.459,1.51417,1.11457,1.58689,0.92343,0.52247,0.58216,0.31907,1.58138,1.05061,1.67225,0.00120831,0.00120831,0.00120831
41,413.005,1.50406,1.12879,1.57003,0.90076,0.5061,0.58429,0.31685,1.59382,1.10243,1.69266,0.00120265,0.00120265,0.00120265
42,422.826,1.48499,1.08075,1.56502,0.91567,0.5223,0.59,0.34794,1.47167,0.97094,1.60132,0.00119699,0.00119699,0.00119699
43,432.579,1.48878,1.10773,1.57314,0.91265,0.54494,0.59448,0.35039,1.42719,0.94161,1.56205,0.00119133,0.00119133,0.00119133
44,442.239,1.4974,1.08741,1.57207,0.89853,0.53627,0.57652,0.32265,1.50908,1.01831,1.65285,0.00118567,0.00118567,0.00118567
45,452.109,1.48783,1.09038,1.54926,0.92062,0.54118,0.59255,0.34861,1.44588,0.93499,1.57079,0.00118001,0.00118001,0.00118001
