epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.68,3.90178,6.09614,4.21547,0.0003,0.03863,0.00022,9e-05,3.89549,4.48838,4.15295,0.00025722,0.00025722,0.00025722
2,29.88,3.58068,5.62802,3.99498,0.00021,0.03638,0.00012,5e-05,3.86294,4.48305,4.13093,0.000526636,0.000526636,0.000526636
3,42.007,2.91095,4.80805,3.33224,0.00035,0.04199,0.00022,9e-05,3.89211,4.55566,4.17459,0.000793902,0.000793902,0.000793902
4,54.256,2.6693,3.99154,2.84355,0.00031,0.0343,0.0002,8e-05,3.60747,4.59893,3.88907,0.00105902,0.00105902,0.00105902
5,66.611,2.50212,3.38271,2.59213,0.00033,0.07212,0.00076,0.00024,3.2025,4.51216,3.30437,0.00132198,0.00132198,0.00132198
6,79.5601,2.34917,2.8731,2.43457,0.00029,0.04729,0.00026,0.00012,3.45929,4.56363,3.73548,0.00140071,0.00140071,0.00140071
7,92.2526,2.2087,2.53557,2.28052,0.38072,0.03046,0.01543,0.00593,2.54601,4.04403,2.77358,0.00139505,0.00139505,0.00139505
8,104.722,2.09778,2.30564,2.16483,0.51899,0.1394,0.11251,0.03391,2.48695,2.68354,2.56859,0.00138939,0.00138939,0.00138939
9,117.198,2.02459,2.11844,2.07363,0.66348,0.20197,0.23192,0.09262,2.1179,2.38233,2.15644,0.00138373,0.00138373,0.00138373
10,130.141,1.99617,2.01837,2.05978,0.73586,0.26337,0.32941,0.1447,2.09048,2.30921,2.2592,0.00137807,0.00137807,0.00137807
11,143.707,1.93234,1.89005,1.99864,0.75613,0.34559,0.383,0.17042,1.93786,1.80277,2.00524,0.00137241,0.00137241,0.00137241
12,234.358,1.86445,1.79629,1.92344,0.75809,0.37862,0.41795,0.19395,1.87323,2.34281,2.04854,0.00136675,0.00136675,0.00136675
13,247.569,1.83253,1.72726,1.87556,0.77427,0.41187,0.44445,0.19456,1.89499,1.63846,1.9745,0.00136109,0.00136109,0.00136109
14,261.016,1.8125,1.667,1.84861,0.85155,0.405,0.47634,0.23132,1.77319,1.49733,1.86681,0.00135544,0.00135544,0.00135544
15,274.598,1.79104,1.60297,1.83305,0.82938,0.42226,0.48354,0.24069,1.72343,1.58103,1.8617,0.00134978,0.00134978,0.00134978
16,288.052,1.7779,1.57319,1.81107,0.8036,0.37217,0.44437,0.17974,2.05441,1.62208,2.08451,0.00134412,0.00134412,0.00134412
17,301.577,1.75472,1.56004,1.80284,0.86287,0.42138,0.48926,0.23761,1.77079,1.49555,1.8377,0.00133846,0.00133846,0.00133846
18,315.092,1.7398,1.504,1.77679,0.81153,0.39779,0.4444,0.21559,1.81663,1.64016,1.88144,0.0013328,0.0013328,0.0013328
19,328.568,1.70553,1.47208,1.75167,0.86466,0.45498,0.51597,0.25533,1.70307,1.36801,1.80854,0.00132714,0.00132714,0.00132714
20,342.077,1.68087,1.43193,1.73991,0.89037,0.44904,0.53218,0.26954,1.68998,1.37006,1.75992,0.00132148,0.00132148,0.00132148
21,355.711,1.70861,1.44499,1.72849,0.86712,0.46845,0.5609,0.27994,1.72738,1.29205,1.82286,0.00131582,0.00131582,0.00131582
22,454.012,1.67147,1.38733,1.71094,0.88037,0.47779,0.56928,0.2942,1.60274,1.20691,1.70207,0.00131016,0.00131016,0.00131016
23,476.259,1.65819,1.35454,1.67591,0.86428,0.48305,0.56327,0.29626,1.59399,1.23964,1.67356,0.00130451,0.00130451,0.00130451
24,488.897,1.62882,1.30628,1.65542,0.90733,0.48648,0.57319,0.30135,1.62481,1.19473,1.71596,0.00129885,0.00129885,0.00129885
25,501.45,1.61915,1.32798,1.66125,0.89925,0.48476,0.58066,0.30331,1.57237,1.17151,1.65634,0.00129319,0.00129319,0.00129319
26,513.964,1.63272,1.29949,1.68433,0.89199,0.48498,0.55161,0.26976,1.74079,1.25905,1.78949,0.00128753,0.00128753,0.00128753
27,526.565,1.61015,1.30467,1.65174,0.87205,0.53337,0.55964,0.29834,1.69223,1.1979,1.71243,0.00128187,0.00128187,0.00128187
28,538.977,1.60004,1.25354,1.63976,0.92782,0.49378,0.59085,0.31622,1.64407,1.06641,1.69547,0.00127621,0.00127621,0.00127621
29,551.455,1.56204,1.20061,1.61697,0.88488,0.52931,0.5759,0.3166,1.54183,1.07514,1.62892,0.00127055,0.00127055,0.00127055
30,563.899,1.59152,1.22014,1.62034,0.88612,0.48022,0.54313,0.28242,1.63091,1.30982,1.71111,0.00126489,0.00126489,0.00126489
31,576.209,1.5933,1.21501,1.61861,0.87526,0.47909,0.60064,0.34817,1.53091,1.11033,1.62337,0.00125923,0.00125923,0.00125923
32,588.568,1.55366,1.15062,1.59873,0.89829,0.5169,0.60506,0.31938,1.6621,1.0619,1.69279,0.00125358,0.00125358,0.00125358
33,603.126,1.58389,1.1709,1.61085,0.90166,0.49652,0.67216,0.35331,1.62211,1.0918,1.64891,0.00124792,0.00124792,0.00124792
34,615.727,1.55879,1.16383,1.58019,0.91802,0.52498,0.59189,0.32024,1.58583,1.01774,1.64422,0.00124226,0.00124226,0.00124226
35,628.963,1.53593,1.14976,1.58259,0.92547,0.53099,0.60292,0.34966,1.54731,0.98116,1.61365,0.0012366,0.0012366,0.0012366
36,642.072,1.53622,1.15246,1.56858,0.91107,0.50765,0.69162,0.39111,1.66649,1.03815,1.73798,0.00123094,0.00123094,0.00123094
37,655.119,1.52704,1.11942,1.55422,0.94717,0.51831,0.60175,0.33541,1.53739,0.98645,1.62516,0.00122528,0.00122528,0.00122528
38,668.259,1.53077,1.11529,1.57007,0.90223,0.54733,0.59598,0.34052,1.4934,1.0267,1.58718,0.00121962,0.00121962,0.00121962
39,680.083,1.50265,1.11426,1.54486,0.93162,0.54244,0.61157,0.33575,1.5834,0.97819,1.64775,0.00121396,0.00121396,0.00121396
40,691.164,1.50143,1.07561,1.53953,0.92541,0.53096,0.62104,0.35082,1.53966,0.94407,1.58221,0.00120831,0.00120831,0.00120831
41,702.238,1.49747,1.09939,1.54309,0.91451,0.52436,0.63665,0.36436,1.50849,0.97009,1.58613,0.00120265,0.00120265,0.00120265
42,714.917,1.49186,1.07368,1.54887,0.9114,0.51677,0.57591,0.332,1.50654,0.99736,1.60483,0.00119699,0.00119699,0.00119699
43,729.264,1.47621,1.08167,1.53696,0.90721,0.54881,0.59594,0.33993,1.50342,0.91927,1.59939,0.00119133,0.00119133,0.00119133
44,742.495,1.47151,1.04362,1.53067,0.87641,0.53762,0.59976,0.34529,1.4865,1.00879,1.58265,0.00118567,0.00118567,0.00118567
45,753.187,1.47627,1.05959,1.5149,0.92484,0.55451,0.62596,0.36193,1.50475,0.90852,1.56002,0.00118001,0.00118001,0.00118001
46,764.247,1.45013,1.00637,1.50849,0.93304,0.54223,0.6089,0.36057,1.44882,0.8652,1.54993,0.00117435,0.00117435,0.00117435
47,775.63,1.46329,1.00726,1.52536,0.8831,0.53207,0.58929,0.33454,1.50798,1.04986,1.56938,0.00116869,0.00116869,0.00116869
48,787.563,1.45047,1.01714,1.50878,0.92489,0.55691,0.62004,0.36247,1.45206,0.87711,1.52584,0.00116303,0.00116303,0.00116303
49,800.301,1.4396,1.01232,1.49597,0.92619,0.52558,0.60288,0.3558,1.48823,0.93432,1.5449,0.00115738,0.00115738,0.00115738
50,813.768,1.45455,1.0345,1.50366,0.94335,0.55115,0.61695,0.35523,1.49825,0.8775,1.58175,0.00115172,0.00115172,0.00115172
51,830.433,1.42387,0.97323,1.47698,0.94515,0.54676,0.61204,0.35425,1.4943,0.87811,1.58031,0.00114606,0.00114606,0.00114606
52,847.078,1.43604,0.99002,1.48174,0.92312,0.57824,0.63224,0.37696,1.44447,0.85765,1.55238,0.0011404,0.0011404,0.0011404
53,865.859,1.42633,1.00627,1.49398,0.91951,0.55795,0.62801,0.37475,1.48387,0.8537,1.57468,0.00113474,0.00113474,0.00113474
54,879.658,1.41013,0.97056,1.46886,0.93656,0.5603,0.63991,0.37598,1.4575,0.83208,1.52062,0.00112908,0.00112908,0.00112908
55,891.993,1.40635,0.96308,1.4765,0.94347,0.55274,0.66855,0.40162,1.39609,0.82354,1.5123,0.00112342,0.00112342,0.00112342
56,904.147,1.4243,0.96167,1.49218,0.92891,0.55227,0.64206,0.39341,1.40484,0.84791,1.50633,0.00111776,0.00111776,0.00111776
57,916.277,1.40546,0.96923,1.48231,0.92474,0.54715,0.70826,0.4454,1.41633,0.8575,1.52788,0.0011121,0.0011121,0.0011121
58,928.433,1.38558,0.96154,1.44702,0.94052,0.56339,0.72392,0.44354,1.3902,0.80437,1.46906,0.00110645,0.00110645,0.00110645
59,940.6,1.40375,0.95045,1.46111,0.56666,0.77434,0.77681,0.51004,1.40644,0.80134,1.49622,0.00110079,0.00110079,0.00110079
60,952.749,1.39895,0.93046,1.4703,0.93255,0.57304,0.72886,0.40182,1.42491,0.86197,1.52871,0.00109513,0.00109513,0.00109513
61,964.768,1.40196,0.92324,1.44806,0.9372,0.55289,0.64874,0.395,1.41425,0.81798,1.49909,0.00108947,0.00108947,0.00108947
62,976.901,1.37819,0.97047,1.45752,0.93548,0.5691,0.64195,0.38671,1.41367,0.79519,1.49709,0.00108381,0.00108381,0.00108381
63,989.091,1.38274,0.92696,1.45283,0.906,0.56012,0.65512,0.39496,1.43179,0.86422,1.49788,0.00107815,0.00107815,0.00107815
64,1001.29,1.36738,0.92456,1.43478,0.65745,0.73548,0.72009,0.43225,1.44423,0.83107,1.51642,0.00107249,0.00107249,0.00107249
65,1013.48,1.37918,0.92684,1.44579,0.8996,0.53351,0.58688,0.35202,1.45275,0.8967,1.53101,0.00106683,0.00106683,0.00106683
66,1027.43,1.35369,0.90607,1.43775,0.93008,0.54425,0.60406,0.33519,1.57276,0.84587,1.62395,0.00106118,0.00106118,0.00106118
67,1039.59,1.38308,0.8884,1.44013,0.9454,0.56831,0.62034,0.37716,1.40836,0.77669,1.49019,0.00105552,0.00105552,0.00105552
68,1051.69,1.36087,0.88914,1.42501,0.93751,0.55854,0.62245,0.37335,1.40259,0.79144,1.48265,0.00104986,0.00104986,0.00104986
69,1063.75,1.36326,0.90361,1.43406,0.92438,0.56241,0.61958,0.37314,1.44016,0.87949,1.55379,0.0010442,0.0010442,0.0010442
70,1076.1,1.36785,0.90183,1.43795,0.94238,0.56483,0.617,0.3487,1.51247,0.83871,1.58789,0.00103854,0.00103854,0.00103854
71,1088.5,1.35904,0.90803,1.41962,0.95348,0.55452,0.67579,0.42882,1.33458,0.76835,1.44105,0.00103288,0.00103288,0.00103288
72,1100.46,1.33243,0.87578,1.40887,0.93857,0.56614,0.6108,0.36466,1.43077,0.83917,1.50209,0.00102722,0.00102722,0.00102722
73,1112.58,1.34547,0.89286,1.43065,0.92772,0.55227,0.62002,0.37727,1.39901,0.82074,1.49997,0.00102156,0.00102156,0.00102156
74,1124.73,1.33805,0.88433,1.40737,0.93955,0.57542,0.61846,0.36409,1.46042,0.80284,1.53334,0.0010159,0.0010159,0.0010159
75,1136.81,1.30984,0.8632,1.39302,0.95283,0.57695,0.64116,0.38753,1.4092,0.78088,1.49395,0.00101025,0.00101025,0.00101025
76,1148.91,1.31441,0.84988,1.40104,0.94622,0.5744,0.66826,0.41015,1.39567,0.77831,1.50318,0.00100459,0.00100459,0.00100459
77,1162.93,1.32648,0.86912,1.40694,0.94048,0.57358,0.62451,0.36523,1.47226,0.77574,1.53801,0.000998928,0.000998928,0.000998928
78,1175.02,1.31404,0.85055,1.39772,0.93017,0.56908,0.61419,0.36264,1.41421,0.85683,1.50203,0.000993269,0.000993269,0.000993269
79,1187.19,1.32859,0.8783,1.39746,0.91425,0.58309,0.64926,0.3728,1.5347,0.85559,1.58127,0.00098761,0.00098761,0.00098761
80,1199.45,1.3264,0.86178,1.39603,0.94086,0.57614,0.62011,0.37993,1.36543,0.78643,1.45399,0.000981952,0.000981952,0.000981952
81,1211.56,1.29619,0.86231,1.38507,0.95513,0.58337,0.62853,0.39,1.34927,0.73317,1.46387,0.000976293,0.000976293,0.000976293
82,1223.55,1.29755,0.82825,1.37235,0.94002,0.57093,0.61757,0.33533,1.60133,0.8113,1.62146,0.000970634,0.000970634,0.000970634
83,1235.72,1.33124,0.84743,1.39046,0.93108,0.58572,0.62601,0.38406,1.3664,0.74023,1.44619,0.000964975,0.000964975,0.000964975
84,1247.79,1.28405,0.81399,1.35506,0.93293,0.5904,0.62653,0.39219,1.31984,0.71496,1.43161,0.000959316,0.000959316,0.000959316
85,1259.96,1.29392,0.85238,1.38402,0.93057,0.57127,0.6096,0.37548,1.35437,0.78879,1.43709,0.000953657,0.000953657,0.000953657
86,1272.01,1.28945,0.84458,1.37071,0.93016,0.59763,0.63047,0.39167,1.32424,0.70632,1.42686,0.000947999,0.000947999,0.000947999
87,1284.12,1.27153,0.81336,1.34297,0.94828,0.56935,0.62634,0.39252,1.35147,0.74431,1.43859,0.00094234,0.00094234,0.00094234
88,1297.97,1.27871,0.81568,1.35902,0.94029,0.59391,0.63814,0.39624,1.35316,0.70955,1.44076,0.000936681,0.000936681,0.000936681
89,1310.06,1.26967,0.81197,1.35786,0.94896,0.57984,0.64112,0.40243,1.32859,0.68941,1.42486,0.000931022,0.000931022,0.000931022
90,1322.12,1.25304,0.80935,1.3498,0.94409,0.57711,0.64395,0.40274,1.30447,0.70687,1.40504,0.000925363,0.000925363,0.000925363
91,1334.24,1.25904,0.81492,1.35123,0.94344,0.57813,0.62757,0.38653,1.36078,0.72678,1.43768,0.000919704,0.000919704,0.000919704
92,1346.32,1.27191,0.82699,1.35212,0.64114,0.71914,0.66901,0.42377,1.37005,0.72966,1.44254,0.000914046,0.000914046,0.000914046
93,1358.47,1.25421,0.80406,1.33964,0.95336,0.58012,0.62818,0.39385,1.34692,0.71144,1.42822,0.000908387,0.000908387,0.000908387
94,1370.58,1.25618,0.80996,1.34802,0.94313,0.59412,0.64135,0.39475,1.36895,0.71994,1.43275,0.000902728,0.000902728,0.000902728
95,1383.37,1.23142,0.80468,1.33925,0.9289,0.60322,0.65335,0.41172,1.27834,0.67475,1.37933,0.000897069,0.000897069,0.000897069
96,1396.3,1.24139,0.80043,1.34467,0.95151,0.58105,0.6217,0.39143,1.33142,0.74578,1.42243,0.00089141,0.00089141,0.00089141
97,1409.03,1.25279,0.79369,1.35425,0.95466,0.58331,0.63422,0.39845,1.32248,0.69907,1.42645,0.000885751,0.000885751,0.000885751
98,1421.73,1.20071,0.7784,1.31683,0.95541,0.57727,0.63198,0.39628,1.32112,0.69249,1.41158,0.000880093,0.000880093,0.000880093
99,1433.55,1.21607,0.7769,1.31387,0.9506,0.57413,0.6237,0.39169,1.30374,0.69991,1.40247,0.000874434,0.000874434,0.000874434
100,1445.36,1.2077,0.77393,1.3168,0.95207,0.59183,0.62859,0.39669,1.30001,0.69975,1.39335,0.000868775,0.000868775,0.000868775
101,1457.13,1.2469,0.78474,1.32969,0.94254,0.58688,0.62718,0.39114,1.35737,0.75502,1.4251,0.000863116,0.000863116,0.000863116
102,1468.92,1.25623,0.78487,1.34345,0.95559,0.5864,0.65044,0.41871,1.26512,0.68872,1.37608,0.000857457,0.000857457,0.000857457
103,1480.77,1.19938,0.74667,1.30151,0.94006,0.57056,0.64651,0.41452,1.29009,0.81692,1.38296,0.000851798,0.000851798,0.000851798
104,1492.49,1.2145,0.74275,1.30853,0.95402,0.57789,0.6312,0.39994,1.31922,0.69514,1.4084,0.000846139,0.000846139,0.000846139
105,1504.25,1.21375,0.76352,1.31119,0.94544,0.58357,0.6309,0.40018,1.33515,0.71099,1.39071,0.000840481,0.000840481,0.000840481
106,1516.04,1.2065,0.75181,1.30076,0.94376,0.58784,0.63881,0.39919,1.33337,0.68067,1.39634,0.000834822,0.000834822,0.000834822
107,1527.8,1.20204,0.76513,1.31197,0.93743,0.61329,0.64251,0.41085,1.2859,0.65857,1.3833,0.000829163,0.000829163,0.000829163
108,1539.51,1.18839,0.75945,1.2919,0.8196,0.7226,0.73781,0.46864,1.26288,0.6805,1.36108,0.000823504,0.000823504,0.000823504
109,1551.74,1.17853,0.7434,1.29375,0.95207,0.5991,0.63099,0.40868,1.27737,0.66681,1.38432,0.000817845,0.000817845,0.000817845
110,1563.54,1.18114,0.74912,1.29406,0.94382,0.59809,0.63183,0.41326,1.27629,0.65859,1.37387,0.000812186,0.000812186,0.000812186
111,1575.35,1.20705,0.76596,1.32157,0.96372,0.59104,0.66383,0.43346,1.25768,0.66678,1.37352,0.000806528,0.000806528,0.000806528
112,1587.12,1.17494,0.73522,1.29504,0.60521,0.73789,0.74135,0.47478,1.24291,0.66367,1.33844,0.000800869,0.000800869,0.000800869
113,1598.84,1.17454,0.74173,1.28945,0.67219,0.73517,0.74504,0.48411,1.27704,0.6796,1.37605,0.00079521,0.00079521,0.00079521
114,1610.69,1.1788,0.74216,1.29012,0.95182,0.59988,0.68625,0.44532,1.27727,0.62941,1.37581,0.000789551,0.000789551,0.000789551
115,1622.47,1.18334,0.74305,1.29291,0.95262,0.59138,0.64594,0.40922,1.3036,0.66881,1.39291,0.000783892,0.000783892,0.000783892
116,1634.26,1.18993,0.75212,1.30023,0.96657,0.59689,0.63515,0.41041,1.24091,0.64733,1.34107,0.000778233,0.000778233,0.000778233
117,1646.05,1.17577,0.7519,1.30112,0.96691,0.59143,0.63138,0.39916,1.2849,0.66133,1.3881,0.000772575,0.000772575,0.000772575
118,1657.82,1.16828,0.74208,1.27172,0.64709,0.73599,0.74114,0.44961,1.25845,0.64107,1.36214,0.000766916,0.000766916,0.000766916
119,1669.68,1.18561,0.73473,1.28803,0.95662,0.57039,0.63013,0.40956,1.24987,0.67832,1.34846,0.000761257,0.000761257,0.000761257
120,1681.45,1.18473,0.75124,1.28964,0.94733,0.60659,0.63735,0.41331,1.24378,0.65831,1.355,0.000755598,0.000755598,0.000755598
121,1694.04,1.18522,0.74334,1.29632,0.59064,0.72876,0.74457,0.49078,1.2661,0.65496,1.35218,0.000749939,0.000749939,0.000749939
122,1707.61,1.17289,0.73676,1.27543,0.94949,0.59057,0.64414,0.42867,1.23214,0.62328,1.33572,0.00074428,0.00074428,0.00074428
123,1719.45,1.16506,0.7186,1.27505,0.6195,0.73597,0.67382,0.44456,1.30746,0.65346,1.37818,0.000738622,0.000738622,0.000738622
124,1731.23,1.15189,0.71213,1.28554,0.95144,0.60161,0.63533,0.4142,1.25506,0.62667,1.358,0.000732963,0.000732963,0.000732963
125,1743.04,1.15366,0.72473,1.27481,0.73359,0.72518,0.68374,0.44306,1.28186,0.64676,1.3886,0.000727304,0.000727304,0.000727304
126,1754.87,1.17114,0.72951,1.28256,0.60952,0.74381,0.74166,0.48427,1.29437,0.66433,1.37552,0.000721645,0.000721645,0.000721645
127,1766.64,1.14456,0.71798,1.269,0.94553,0.59826,0.63858,0.41591,1.26548,0.66253,1.35184,0.000715986,0.000715986,0.000715986
128,1778.48,1.14444,0.70621,1.27697,0.71236,0.71995,0.69084,0.44308,1.25398,0.6473,1.36777,0.000710327,0.000710327,0.000710327
129,1790.27,1.15662,0.72009,1.28051,0.95271,0.61117,0.6446,0.4187,1.26663,0.62137,1.37032,0.000704668,0.000704668,0.000704668
130,1802.05,1.1433,0.71206,1.26879,0.95709,0.60355,0.63238,0.41771,1.22304,0.6285,1.32639,0.00069901,0.00069901,0.00069901
