epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.11,3.93465,6.18466,4.23386,0.00029,0.0375,0.00018,7e-05,3.90404,4.48914,4.15649,0.00020006,0.00020006,0.00020006
2,20.177,3.76561,5.79148,4.11536,0.00025,0.03863,0.00019,8e-05,3.87945,4.48131,4.1395,0.000412769,0.000412769,0.000412769
3,28.921,3.24247,5.33653,3.72337,0.00023,0.04183,0.00014,6e-05,3.89576,4.50823,4.16556,0.00062378,0.00062378,0.00062378
4,37.318,2.85067,4.48763,3.13655,0.00028,0.0452,0.0002,7e-05,3.99692,4.53549,4.15785,0.000833094,0.000833094,0.000833094
5,45.716,2.60831,3.82382,2.838,0.0003,0.04311,0.00063,0.00019,3.59723,4.59452,3.93816,0.00104071,0.00104071,0.00104071
6,54.126,2.50438,3.29202,2.66294,0.00037,0.03462,0.00024,9e-05,3.844,4.77033,4.10503,0.00124663,0.00124663,0.00124663
7,62.505,2.38718,2.95241,2.52783,0.00049,0.05738,0.00063,0.00021,3.44391,4.19531,3.70493,0.00139505,0.00139505,0.00139505
8,71.067,2.31434,2.62182,2.40492,0.68721,0.02357,0.00328,0.00097,3.06356,8.77593,4.34203,0.00138939,0.00138939,0.00138939
9,79.443,2.20882,2.34772,2.29955,0.00621,0.14487,0.00746,0.00236,2.6912,4.0959,2.99634,0.00138373,0.00138373,0.00138373
10,87.859,2.09085,2.10782,2.20254,0.50743,0.13598,0.14634,0.06337,2.25141,2.93199,2.43228,0.00137807,0.00137807,0.00137807
11,96.135,2.10972,2.01927,2.18278,0.71168,0.24351,0.33868,0.13082,2.09804,2.29607,2.26234,0.00137241,0.00137241,0.00137241
12,104.49,2.02086,1.90607,2.11781,0.73724,0.32077,0.3676,0.15715,2.03591,1.88781,2.2134,0.00136675,0.00136675,0.00136675
13,112.886,1.97381,1.81402,2.07531,0.77829,0.33791,0.37957,0.15611,1.96758,1.78294,2.11494,0.00136109,0.00136109,0.00136109
14,121.359,1.89924,1.71664,2.02551,0.72032,0.34413,0.36633,0.15009,2.05914,1.78955,2.22049,0.00135544,0.00135544,0.00135544
15,129.798,1.93239,1.70582,2.00958,0.82491,0.39399,0.46262,0.21483,1.94449,1.51139,2.09877,0.00134978,0.00134978,0.00134978
16,138.196,1.88603,1.6784,1.97222,0.68328,0.34217,0.35652,0.15102,1.9055,2.37945,2.05549,0.00134412,0.00134412,0.00134412
17,146.555,1.87142,1.61086,1.9429,0.84473,0.44698,0.49553,0.2201,1.84156,1.55769,2.02364,0.00133846,0.00133846,0.00133846
