epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.2514,3.81399,6.3833,4.23559,0.00062,0.04567,0.00034,0.00017,3.47728,4.27679,4.15934,9.09e-05,9.09e-05,9.09e-05
2,26.3779,3.71188,6.05539,4.20765,0.00068,0.04567,0.00052,0.00023,3.47827,4.27482,4.15992,0.000190134,0.000190134,0.000190134
3,33.9723,3.66101,5.87009,4.11501,0.00077,0.04476,0.00054,0.00024,3.47883,4.27523,4.16308,0.000288576,0.000288576,0.000288576
4,42.9415,3.52684,5.62122,3.94574,0.00095,0.05093,0.0006,0.00026,3.48869,4.28657,4.19183,0.000386226,0.000386226,0.000386226
5,50.9401,3.48211,5.4864,3.74511,0.00077,0.04864,0.00054,0.00025,3.52791,4.33533,4.27569,0.000483085,0.000483085,0.000483085
6,58.1799,3.2831,5.15404,3.50274,0.00084,0.04339,0.00056,0.00025,3.52391,4.37468,4.24955,0.000579151,0.000579151,0.000579151
7,65.5941,3.17719,4.95005,3.26044,0.0009,0.03647,0.00058,0.00027,3.5103,4.4244,4.26629,0.000674426,0.000674426,0.000674426
8,74.4205,3.07256,4.64282,3.01165,0.00086,0.04035,0.00055,0.00028,3.6067,4.57027,4.51431,0.000768908,0.000768908,0.000768908
9,82.6045,2.97594,4.33134,2.90829,0.00102,0.01749,0.00058,0.00026,3.43847,4.52515,4.30224,0.000862599,0.000862599,0.000862599
10,89.461,2.89612,4.05551,2.80119,0.00104,0.01677,0.00072,0.00037,3.32871,4.56575,4.2044,0.000876603,0.000876603,0.000876603
11,96.4935,2.83804,3.91776,2.71543,0.00092,0.09976,0.00069,0.00026,3.07788,4.29707,3.60276,0.000873004,0.000873004,0.000873004
12,103.326,2.78,3.62752,2.60194,0.00132,0.10843,0.00138,0.00048,2.96926,4.12017,3.34013,0.000869404,0.000869404,0.000869404
13,110.156,2.70888,3.52764,2.5348,0.20383,0.05324,0.00368,0.00124,2.84896,3.99006,3.06746,0.000865804,0.000865804,0.000865804
14,117.04,2.64583,3.44105,2.49924,0.6725,0.03589,0.02504,0.00931,2.72761,3.45274,2.78345,0.000862205,0.000862205,0.000862205
15,123.954,2.57785,3.22324,2.40835,0.68957,0.04645,0.03161,0.01433,2.5605,3.64526,2.60931,0.000858605,0.000858605,0.000858605
16,130.765,2.5501,3.21941,2.3671,0.67637,0.04851,0.03563,0.01361,2.68695,3.27512,2.81376,0.000855005,0.000855005,0.000855005
17,137.639,2.4747,3.01419,2.31118,0.73661,0.08219,0.07609,0.03595,2.33431,2.80609,2.35265,0.000851406,0.000851406,0.000851406
18,144.544,2.44363,2.9729,2.27166,0.65819,0.0473,0.02365,0.00814,2.53614,3.30772,2.56334,0.000847806,0.000847806,0.000847806
